DriverNumber,Driver,TeamName,Position,Points,Year,GrandPrix,Round,QualPosition,Driver_AvgFinish_Season,Team_AvgPoints_Season,PrevRaceFinish,Form_Last3,AvgFinish_AtGP_PastYears,AvgQual_AtGP_PastYears,norm_Form_Last3,norm_AvgFinishAtGP,norm_AvgQualAtGP,Drivers_Confidence,DriverID,TeamID,GP_ID
3,RIC,RB,12,0,2020,Hungarian Grand Prix,3,18,13.117647058823529,0.8235294117647058,16.0,13.666666666666666,,,0.3333333333333335,1.0,1.0,0.7333333333333334,16,7,13
10,GAS,Alpine,13,0,2020,Hungarian Grand Prix,3,17,13.823529411764707,0.38235294117647056,20.0,17.0,,,0.1578947368421053,1.0,1.0,0.6631578947368422,6,0,13
77,BOT,Kick Sauber,14,0,2020,Hungarian Grand Prix,3,13,16.058823529411764,0.0,17.0,16.666666666666668,,,0.17543859649122795,1.0,1.0,0.6701754385964911,3,4,13
24,ZHO,Kick Sauber,15,0,2020,Hungarian Grand Prix,3,19,16.11764705882353,0.0,18.0,14.666666666666666,,,0.2807017543859649,1.0,1.0,0.712280701754386,23,4,13
31,OCO,Alpine,16,0,2020,Hungarian Grand Prix,3,15,13.647058823529411,0.38235294117647056,13.0,15.333333333333334,,,0.2456140350877194,1.0,1.0,0.6982456140350877,13,0,13
63,RUS,Mercedes,17,0,2020,Hungarian Grand Prix,3,7,7.823529411764706,8.617647058823529,6.0,9.333333333333334,,,0.5614035087719298,1.0,1.0,0.8245614035087718,17,6,13
44,HAM,Mercedes,18,0,2020,Hungarian Grand Prix,3,11,6.411764705882353,8.617647058823529,9.0,11.333333333333334,,,0.45614035087719307,1.0,1.0,0.7824561403508772,7,6,13
1,VER,Red Bull Racing,19,0,2020,Hungarian Grand Prix,3,1,3.7058823529411766,12.323529411764707,1.0,7.0,,,0.6842105263157895,1.0,1.0,0.8736842105263158,22,8,13
1,VER,Red Bull Racing,1,26,2020,British Grand Prix,4,1,3.7058823529411766,12.323529411764707,19.0,7.0,,,0.6842105263157895,1.0,1.0,0.8736842105263158,22,8,7
11,PER,Red Bull Racing,2,18,2020,British Grand Prix,4,2,8.176470588235293,12.323529411764707,5.0,3.0,,,0.8947368421052632,1.0,1.0,0.9578947368421054,14,8,7
55,SAI,Ferrari,3,15,2020,British Grand Prix,4,4,5.875,11.735294117647058,1.0,2.3333333333333335,,,0.9298245614035088,1.0,1.0,0.9719298245614036,18,2,7
16,LEC,Ferrari,4,12,2020,British Grand Prix,4,8,5.0588235294117645,11.735294117647058,2.0,3.0,,,0.8947368421052632,1.0,1.0,0.9578947368421054,10,2,7
4,NOR,McLaren,5,10,2020,British Grand Prix,4,3,4.294117647058823,13.382352941176471,3.0,5.333333333333333,,,0.7719298245614035,1.0,1.0,0.9087719298245613,12,5,7
14,ALO,Aston Martin,6,8,2020,British Grand Prix,4,5,9.647058823529411,2.411764705882353,8.0,6.333333333333333,,,0.7192982456140351,1.0,1.0,0.8877192982456141,1,1,7
63,RUS,Mercedes,7,6,2020,British Grand Prix,4,9,7.823529411764706,8.617647058823529,17.0,10.0,,,0.5263157894736843,1.0,1.0,0.8105263157894738,17,6,7
81,PIA,McLaren,8,4,2020,British Grand Prix,4,6,4.647058823529412,13.382352941176471,4.0,5.333333333333333,,,0.7719298245614035,1.0,1.0,0.9087719298245613,15,5,7
44,HAM,Mercedes,9,2,2020,British Grand Prix,4,7,6.411764705882353,8.617647058823529,18.0,12.0,,,0.42105263157894735,1.0,1.0,0.7684210526315789,7,6,7
22,TSU,RB,10,1,2020,British Grand Prix,4,10,13.470588235294118,0.8235294117647058,7.0,10.666666666666666,,,0.49122807017543857,1.0,1.0,0.7964912280701755,21,7,7
27,HUL,Haas F1 Team,11,0,2020,British Grand Prix,4,12,11.823529411764707,0.7941176470588235,9.0,10.0,,,0.5263157894736843,1.0,1.0,0.8105263157894738,8,3,7
