DriverNumber,Abbreviation,TeamName,Position,Points,Year,GrandPrix,Winner,Second,Third,DriverID,TeamID,GP_ID,AvgFinish_Season,TeamAvgPoints_Season,PrevRaceFinish
18,STR,Aston Martin,15,0.0,2020,70th Anniversary Grand Prix,0,0,0,20,1,0,12.4,4.0,12.0
20,MAG,Haas F1 Team,16,0.0,2020,70th Anniversary Grand Prix,0,0,0,11,3,0,12.6,0.5,13.0
2,SAR,Williams,17,0.0,2020,70th Anniversary Grand Prix,0,0,0,19,9,0,17.0,0.0,17.0
3,RIC,RB,18,0.0,2020,70th Anniversary Grand Prix,0,0,0,16,7,0,15.6,0.7777777777777778,19.0
22,TSU,RB,19,0.0,2020,70th Anniversary Grand Prix,0,0,0,21,7,0,13.0,0.7,10.0
77,BOT,Kick Sauber,20,0.0,2020,70th Anniversary Grand Prix,0,0,0,3,4,0,16.8,0.0,14.0
4,NOR,McLaren,1,25.0,2020,Spanish Grand Prix,1,0,0,12,5,26,4.166666666666667,10.545454545454545,2.0
1,VER,Red Bull Racing,2,18.0,2020,Spanish Grand Prix,0,1,0,22,8,26,4.166666666666667,18.09090909090909,1.0
16,LEC,Ferrari,3,15.0,2020,Spanish Grand Prix,0,0,1,10,2,26,3.3333333333333335,14.272727272727273,4.0
11,PER,Red Bull Racing,4,12.0,2020,Spanish Grand Prix,0,0,0,14,8,26,3.0,17.583333333333332,3.0
55,SAI,Ferrari,5,10.0,2020,Spanish Grand Prix,0,0,0,18,2,26,3.4,13.916666666666666,5.0
44,HAM,Mercedes,6,8.0,2020,Spanish Grand Prix,0,0,0,7,6,26,9.666666666666666,4.7272727272727275,9.0
22,TSU,RB,7,6.0,2020,Spanish Grand Prix,0,0,0,21,7,26,12.0,1.1818181818181819,19.0
63,RUS,Mercedes,8,4.0,2020,Spanish Grand Prix,0,0,0,17,6,26,8.166666666666666,4.666666666666667,6.0
14,ALO,Aston Martin,9,2.0,2020,Spanish Grand Prix,0,0,0,1,1,26,7.333333333333333,3.8181818181818183,7.0
31,OCO,Alpine,10,1.0,2020,Spanish Grand Prix,0,0,0,13,0,26,13.666666666666666,0.09090909090909091,11.0
27,HUL,Haas F1 Team,11,0.0,2020,Spanish Grand Prix,0,0,0,8,3,26,11.166666666666666,0.45454545454545453,10.0
10,GAS,Alpine,12,0.0,2020,Spanish Grand Prix,0,0,0,6,0,26,15.333333333333334,0.08333333333333333,13.0
81,PIA,McLaren,13,0.0,2020,Spanish Grand Prix,0,0,0,15,5,26,7.5,9.666666666666666,8.0
24,ZHO,Kick Sauber,14,0.0,2020,Spanish Grand Prix,0,0,0,23,4,26,15.0,0.0,14.0
3,RIC,RB,15,0.0,2020,Spanish Grand Prix,0,0,0,16,7,26,15.5,1.0833333333333333,18.0
77,BOT,Kick Sauber,16,0.0,2020,Spanish Grand Prix,0,0,0,3,4,26,16.666666666666668,0.0,20.0
18,STR,Aston Martin,17,0.0,2020,Spanish Grand Prix,0,0,0,20,1,26,13.166666666666666,3.5,15.0
23,ALB,Williams,18,0.0,2020,Spanish Grand Prix,0,0,0,0,9,26,14.5,0.0,12.0
20,MAG,Haas F1 Team,19,0.0,2020,Spanish Grand Prix,0,0,0,11,3,26,13.666666666666666,0.4166666666666667,16.0
2,SAR,Williams,20,0.0,2020,Spanish Grand Prix,0,0,0,19,9,26,17.6,0.0,17.0
1,VER,Red Bull Racing,1,25.0,2020,Belgian Grand Prix,1,0,0,22,8,6,3.7142857142857144,18.153846153846153,2.0
4,NOR,McLaren,2,18.0,2020,Belgian Grand Prix,0,1,0,12,5,6,3.857142857142857,10.307692307692308,1.0
16,LEC,Ferrari,3,15.0,2020,Belgian Grand Prix,0,0,1,10,2,6,3.2857142857142856,14.0,3.0
81,PIA,McLaren,4,12.0,2020,Belgian Grand Prix,0,0,0,15,5,6,7.0,10.428571428571429,13.0
55,SAI,Ferrari,5,10.0,2020,Belgian Grand Prix,0,0,0,18,2,6,3.6666666666666665,13.714285714285714,5.0
44,HAM,Mercedes,6,8.0,2020,Belgian Grand Prix,0,0,0,7,6,6,9.142857142857142,4.923076923076923,6.0
63,RUS,Mercedes,7,7.0,2020,Belgian Grand Prix,0,0,0,17,6,6,8.0,5.071428571428571,8.0
11,PER,Red Bull Racing,8,4.0,2020,Belgian Grand Prix,0,0,0,14,8,6,3.7142857142857144,17.142857142857142,4.0
18,STR,Aston Martin,9,2.0,2020,Belgian Grand Prix,0,0,0,20,1,6,12.571428571428571,3.3846153846153846,17.0
22,TSU,RB,10,1.0,2020,Belgian Grand Prix,0,0,0,21,7,6,11.714285714285714,1.0769230769230769,7.0
27,HUL,Haas F1 Team,11,0.0,2020,Belgian Grand Prix,0,0,0,8,3,6,11.142857142857142,0.38461538461538464,11.0
20,MAG,Haas F1 Team,12,0.0,2020,Belgian Grand Prix,0,0,0,11,3,6,13.428571428571429,0.35714285714285715,19.0
3,RIC,RB,13,0.0,2020,Belgian Grand Prix,0,0,0,16,7,6,15.142857142857142,1.0,15.0
31,OCO,Alpine,14,0.0,2020,Belgian Grand Prix,0,0,0,13,0,6,13.714285714285714,0.07692307692307693,10.0
24,ZHO,Kick Sauber,15,0.0,2020,Belgian Grand Prix,0,0,0,23,4,6,15.0,0.0,14.0
10,GAS,Alpine,16,0.0,2020,Belgian Grand Prix,0,0,0,6,0,6,15.428571428571429,0.07142857142857142,12.0
2,SAR,Williams,17,0.0,2020,Belgian Grand Prix,0,0,0,19,9,6,17.5,0.0,20.0
77,BOT,Kick Sauber,18,0.0,2020,Belgian Grand Prix,0,0,0,3,4,6,16.857142857142858,0.0,16.0
14,ALO,Aston Martin,19,0.0,2020,Belgian Grand Prix,0,0,0,1,1,6,9.0,3.142857142857143,9.0
